PCT,black,hispanic,others,label
1,37.145,3.4672,0.82055,1
5,42.394,5.4387,0.56222,1
6,42.706,4.3145,0.7676,1
7,10.433,4.0985,0.50211,1
9,15.869,3.7136,0.42026,1
10,13.976,2.1857,0.54195,1
13,21.459,3.924,0.33723,1
14,11.008,3.2196,0.47849,1
17,24.844,4.7988,0.82012,1
18,21.141,3.4432,0.93156,1
19,28.11,7.666,1.3769,1
20,16.87,3.7137,0.96607,1
23,5.5604,1.8058,0.83654,3
24,6.1931,2.6516,0.62412,3
25,1.568,0.91021,1.4345,2
26,5.9637,1.6709,1.3129,3
28,1.966,0.95947,1.185,2
30,2.3933,0.95307,2.053,2
32,1.1518,0.74796,6.4918,2
33,1.2753,0.8957,6.5547,2
34,1.7407,4.6056,4.5932,2
40,2.4102,0.73253,4.2488,2
41,1.6839,0.68265,9.111,2
42,1.4454,0.63964,4.1094,2
43,1.5352,0.75016,3.1332,2
44,1.225,0.84034,5.8488,2
45,3.5288,0.97226,5.2123,2
46,1.3243,0.80918,4.579,2
47,2.0177,1.214,5.8177,2
48,1.39,0.78544,9.0323,2
49,5.0378,1.0226,1.6192,2
50,2.9081,1.7335,1.8797,2
52,1.4827,1.0733,1.2203,2
60,30.909,45.687,1.6351,1
61,46.263,3.8783,1.6478,1
62,16.702,3.6196,0.58479,1
63,37.939,2.0339,1.1058,1
66,22.065,7.387,14.767,2
67,1.0174,0.78403,2.1581,2
68,11.733,3.2719,0.53095,1
69,1.0903,1.3891,1.1752,2
70,37.101,5.6628,13.978,2
71,1.185,0.86764,2.0449,2
72,3.9054,1.9139,1.0792,3
73,1.0786,0.61446,3.8566,2
75,1.2648,0.72362,2.9764,2
76,15.264,2.0208,1.7958,3
77,1.4368,0.91955,1.4882,2
78,5.307,2.0156,1.4347,3
79,4.1182,1.2546,3.1259,2
81,1.5018,0.72249,3.1728,2
83,3.1038,0.78558,3.0221,2
84,6.5122,1.7058,0.98483,3
88,2.1452,0.98584,0.89717,2
90,20.524,2.3591,3.6974,3
94,20.697,2.8602,1.6468,1
100,41.904,5.7271,2.9097,1
101,1.7721,0.56473,3.7278,2
102,4.104,1.7441,1.4749,2
103,2.1469,1.8263,1.1139,2
104,8.8933,2.2087,2.0989,3
105,2.5067,1.8325,2.3687,2
106,4.5043,1.2459,2.3694,2
107,6.8456,2.0093,0.7449,3
108,9.3834,1.7307,1.0165,3
109,24.812,3.7618,0.53118,1
110,8.8683,1.7021,0.21512,1
111,24.103,3.9484,0.56766,1
112,17.657,3.6337,1.0107,1
113,1.0458,2.3361,3.9205,2
114,13.459,1.8885,1.2077,3
115,5.0022,1.3483,0.51082,3
120,29.461,1.3593,0.81968,1
122,20.339,1.5267,1.1863,1
123,33.25,1.1449,1.0059,1
