PCT,poverty,per_capita_income,no_Of_stops,crime,label
1,-1.2968458297,-0.834398354,1.8914136542,-56.76,2
5,-2.4880161668,0.0681918087,-0.1959796882,-473.76,1
6,-0.7914624016,-0.7351561537,1.2122827322,106.24,2
7,-0.4272663749,0.1638488181,-1.4794729536,-709.76,1
9,-6.2445025087,-0.6937941533,3.5435512265,-53.76,2
10,-2.4887336808,0.4024483644,3.7090513017,-382.76,1
13,-2.2529994473,-1.0498075881,1.8226967733,542.24,2
14,-2.2665054119,-1.2371336648,2.4989789751,1416.24,3
17,-3.8958645025,0.630315662,6.2941035299,-448.76,1
18,-1.5009832609,0.5867804303,5.0151402888,839.24,3
19,-8.1087600782,0.645422428,10.6225436496,556.24,2
20,-8.3480711779,0.5231402323,11.4495907286,-446.76,1
23,1.1131938579,0.4923838535,-1.5083380418,-460.76,1
24,-10.6050710374,-0.6722803856,8.1094984731,-386.76,1
25,0.5944114875,0.3170031977,-0.8735875869,-416.76,1
26,-2.6880619137,-4.8301221501,0.1923278068,-797.76,1
28,0.5540497701,0.2597509018,-0.6740763051,-528.76,1
30,-0.3026630989,0.6344171024,-1.7273951052,-604.76,1
32,0.9333730189,0.3550906912,-1.2838456252,-443.76,1
33,-3.16410567,1.5261494318,-4.8742461779,-573.76,1
34,-1.9824426295,0.3884050328,-2.4470887462,-314.76,1
40,0.7981995658,0.1820218564,-1.2163245114,153.24,2
41,0.7756487774,-0.124343933,-1.2227060853,14.24,2
42,0.8819999921,0.0206728659,-0.9305211902,-188.76,1
43,1.0704053386,0.3031200027,-0.9943896103,961.24,3
44,0.9759562655,0.1528355812,-1.3514592443,729.24,3
45,4.3858940446,-1.5526125069,-1.033678722,-297.76,1
46,0.8695972817,0.1958930611,-0.9851744055,141.24,2
47,1.2077023777,0.1175271691,-0.7815998737,650.24,2
48,1.0087928041,0.1613592716,-1.1959441804,155.24,2
49,0.9785895123,0.139971125,-0.7185213861,99.24,2
50,0.7714138007,-0.5012061975,-0.6980412809,-478.76,1
52,1.1077898522,-0.027716844,-1.360638995,685.24,2
60,0.96769096,-0.1828413973,-0.8483467778,-33.76,2
61,0.9045817468,0.1953392043,-0.5752785679,195.24,2
62,0.961313829,0.1656129892,-0.657857449,-170.76,1
63,1.1795645885,0.2775174355,-0.5725573443,-86.76,2
66,0.8447917286,0.1973467864,-0.7650498836,-229.76,1
67,1.3895931686,0.190795807,-0.7169002723,957.24,3
68,0.7724301391,0.1913779924,-0.5041824106,-523.76,1
69,1.2835496929,0.2307042482,-0.6703802273,-340.76,1
70,0.9016820323,0.2159393062,-0.6339069448,415.24,2
71,1.0271104289,0.0032777818,-0.7796652279,172.24,2
72,0.2981013013,0.2172569893,-0.7813620767,-326.76,1
73,1.3101750721,0.2087510488,-0.7795371209,779.24,3
75,1.1918074808,0.0822240615,-0.8459295708,2304.24,3
76,0.0938118315,0.2029949258,-0.4526248862,-842.76,1
77,0.7757224796,0.1200475359,-0.625046034,89.24,2
78,0.3508266883,0.1836088843,-0.2835932074,-429.76,1
79,0.9817527936,0.1453800346,-0.7470054623,443.24,2
81,0.88347903,-0.2042802122,-0.7011974205,96.24,2
83,0.6818647517,0.1981093899,-0.8236273164,552.24,2
84,0.4647673614,-0.1229343847,-0.1360712849,-433.76,1
88,0.3274529183,-0.2016986091,-0.4830025505,-310.76,1
90,0.6547407573,0.2827791994,-1.0119554748,240.24,2
94,0.3435214779,0.3076987244,-0.3079626297,-520.76,1
100,0.9400488564,0.1079267603,-0.5080065155,-860.76,1
101,1.6129163711,-1.6128816036,-1.6630181603,-575.76,1
102,0.9733761233,0.2292337966,-0.7163851335,132.24,2
103,1.1207134162,0.1473511862,-0.8819201917,366.24,2
104,1.0829142082,0.2511508858,-0.6009008854,203.24,2
105,1.3005263472,0.1807393579,-0.6050110204,553.24,2
106,1.4721830893,0.2807625947,-0.6819598768,125.24,2
107,0.7418683437,-0.0324529225,-0.70212863,-188.76,1
108,0.7291030545,-0.1329142611,-0.7689664692,-266.76,1
109,0.8541939383,0.0962697427,-0.6866755602,492.24,2
110,1.3501816135,0.3625893266,-1.164614723,299.24,2
111,0.7396273354,0.2076091361,-0.5536560278,-596.76,1
112,0.5140122952,0.2097054082,-0.3152377735,-563.76,1
113,2.2902672336,0.2720897904,-0.881575573,898.24,3
114,0.7622776761,0.1963444272,-0.666026031,616.24,2
115,0.8661449995,0.2339536471,-1.0016892988,294.24,2
120,1.2308048499,0.2261828968,-0.8679165809,-157.76,1
122,1.4398173121,0.0656605445,-0.4856321638,-671.76,1
123,2.2140281216,-0.202505413,-0.3537886688,-1076.76,1
