"","precint","blackStopRatio","label"
"1",1,18.8673078339857,1
"2",5,52.1141417559667,3
"3",6,48.3954444837545,3
"4",7,7.63685844244,2
"5",9,6.57601774876,2
"6",10,10.1273342531111,2
"7",13,23.77331400092,1
"8",14,8.23655909022308,2
"9",17,26.0198981254077,1
"10",18,24.1752012072462,1
"11",19,29.5458725629697,1
"12",20,18.5424983535571,1
"13",22,0,2
"14",23,3.37948362119167,2
"15",24,4.31476804335833,2
"16",25,1.48298350155455,2
"17",26,7.422100853,2
"18",28,1.33075058402,2
"19",30,1.1951577175625,2
"20",32,1.15668406636667,2
"21",33,1.22771007480909,2
"22",34,1.54952257515714,2
"23",40,2.67525597533636,2
"24",41,1.84222619225714,2
"25",42,1.45515090628235,2
"26",43,1.46639678145676,2
"27",44,1.24561721395588,2
"28",45,3.92064297973333,2
"29",46,1.394962239352,2
"30",47,2.18514057042174,2
"31",48,1.40658752288,2
"32",49,6.38690717571945,2
"33",50,3.30240885828,2
"34",52,1.42757039622143,2
"35",60,33.3124329603458,1
"36",61,53.4833624585618,3
"37",62,11.3188949070814,2
"38",63,32.3537933027596,1
"39",66,25.3757583006276,1
"40",67,1.00424188905652,2
"41",68,12.6635744001733,2
"42",69,1.08205865310286,2
"43",70,15.370929379739,1
"44",71,1.25331294783077,2
"45",72,4.29868814017576,2
"46",73,1.06903509744,2
"47",75,1.25623257039057,2
"48",76,16.8325416354071,1
"49",77,1.3937587164375,2
"50",78,6.25384454554445,2
"51",79,2.40197460365,2
"52",81,1.40661577337222,2
"53",83,2.49530144307241,2
"54",84,8.32389332582143,2
"55",88,2.28851379681579,2
"56",90,24.0158143090035,1
"57",94,18.1987865133056,1
"58",100,51.3785888075154,3
"59",101,1.83016654664167,2
"60",102,4.19202388677451,2
"61",103,2.0614294662,2
"62",104,8.02059668620333,2
"63",105,2.56652025285286,2
"64",106,5.05834506705263,2
"65",107,8.174971937585,2
"66",108,9.40011638283513,2
"67",109,24.7662385550475,1
"68",110,8.55537421620323,2
"69",111,27.3875668109925,1
"70",112,19.9789274423543,1
"71",113,1.07115361957872,2
"72",114,14.2642467079887,1
"73",115,4.25772055817568,2
"74",120,31.0302661437304,1
"75",122,21.6071043086773,1
"76",123,17.3615385073,1
