"","precint","Hispanic","crimeRate","label"
"1",1,-0.747692738054267,-0.0516040403069878,1
"2",5,-2.14072853259441,-0.746926797427035,1
"3",6,-0.613240420993911,0.220188788015717,1
"4",7,0.350747701402582,-1.14044279426236,1
"5",9,-3.02175793644882,-0.0466017183133184,1
"6",10,-0.935287523620719,-0.595189696952397,1
"7",13,-0.448708445761019,0.947192917762337,3
"8",14,-1.28670200272224,2.40453605858469,3
"9",17,-1.89755218148671,-0.705240780813124,1
"10",18,-1.1397435500327,1.44242279513561,3
"11",19,-3.35723502058067,0.970537087066128,1
"12",20,-3.07389807162188,-0.701905899484011,1
"13",23,2.25572910019339,-0.725250068787801,3
"14",24,-1.26145537214091,-0.601859459610622,1
"15",25,0.550334812031751,-0.651882679547316,3
"16",26,-0.619147439790436,-1.28717757274333,1
"17",28,-0.30405341996722,-0.838636033977641,1
"18",30,4.59768614997911,-0.965361524483933,3
"19",32,-0.0449740467909007,-0.696903577490341,1
"20",33,17.193308569671,-0.913670863882682,2
"21",34,8.76997304244815,-0.481803731762557,2
"22",40,1.77206656266515,0.298558499249871,3
"23",41,1.61138637296819,0.0667842468765215,3
"24",42,0.618920899281405,-0.271706208028442,3
"25",43,1.02390968940572,1.6458505562115,3
"26",44,1.64940738503325,1.2590043220344,3
"27",45,0.901171683363315,-0.453457240465097,3
"28",46,1.03904264895284,0.278549211275193,3
"29",47,-0.189145911595545,1.12727650953444,3
"30",48,1.45852853399744,0.301893380578984,3
"31",49,0.26875669639592,0.208516703363821,3
"32",50,0.977264241656849,-0.755264000749818,3
"33",52,2.08261787980484,1.18563693279391,3
"34",60,-0.123699163355887,-0.013252905022189,3
"35",61,-0.406464144755127,0.368591007161242,3
"36",62,-0.223506685771877,-0.241692276066425,1
"37",63,-0.542125854429759,-0.101627260243682,1
"38",66,-0.212044749782323,-0.340071275275257,1
"39",67,-0.392630341490482,1.63918079355327,3
"40",68,-0.341620364265549,-0.830298830654859,1
"41",69,-0.496621689638744,-0.525157189041025,1
"42",70,-0.197496465629518,0.735427953363666,3
"43",71,-0.248791864620858,0.330239871876444,3
"44",72,0.456667524357197,-0.501813019737234,3
"45",73,0.0201344981215253,1.34237635526222,3
"46",75,0.161282046860974,3.88522336871083,3
"47",76,0.21472168278477,-1.36221240264837,1
"48",77,-0.203398964808539,0.191842296718257,3
"49",78,-0.119107392317893,-0.673559408186551,1
"50",79,-0.00156989592555697,0.782116291971247,3
"51",81,0.15814035891836,0.203514381370152,3
"52",83,0.839049067667375,0.963867324407903,3
"53",84,-0.252331241181271,-0.680229170844777,1
"54",88,-0.0258316897869922,-0.475133969104331,1
"55",90,0.279272427272167,0.443625837066283,3
"56",94,-0.27036537845704,-0.825296508661189,1
"57",100,-0.120472128051366,-1.39222633461039,1
"58",101,0.324528162147998,-0.917005745211795,1
"59",102,0.24720945133541,0.263542245294185,3
"60",103,-0.125912588230386,0.653723360800399,3
"61",104,0.161975544842655,0.381930532477694,3
"62",105,-0.638485535907128,0.965534765072457,3
"63",106,-0.157512969031825,0.25187016064229,3
"64",107,-0.342759581253489,-0.271706208028442,1
"65",108,0.583995451713203,-0.401766579863846,3
"66",109,-0.364609237194312,0.863820884534514,3
"67",110,0.880202598227724,0.542004836275115,3
"68",111,-0.309774495610193,-0.952021999167481,1
"69",112,-0.277159606134308,-0.896996457237116,1
"70",113,-0.961295517859427,1.54080179434444,3
"71",114,0.131638824162932,1.07058352693952,3
"72",115,1.4477636917918,0.533667632952333,3
"73",120,0.153070992391224,-0.220015547427191,3
"74",122,-0.578186217736492,-1.07708004900922,1
"75",123,-0.845622820355258,-1.75239351815459,1
