"","precint","stops","crime","label"
"1",1,-0.247130612487864,-0.0516040403069878,1
"2",5,0.507559250574692,-0.746926797427035,1
"3",6,0.309859276862127,0.220188788015717,1
"4",7,1.5011263250088,-1.14044279426236,0
"5",9,-0.417311141986522,-0.0466017183133184,1
"6",10,0.796195717100857,-0.595189696952397,0
"7",13,-0.179767889661297,0.947192917762337,3
"8",14,2.72978641030609,2.40453605858469,3
"9",17,-0.956641320505686,-0.705240780813124,1
"10",18,-0.585805519905368,1.44242279513561,3
"11",19,-1.02969625380976,0.970537087066128,3
"12",20,-0.0879633725533596,-0.701905899484011,1
"13",23,4.92956925034315,-0.725250068787801,2
"14",24,3.29040130854518,-0.601859459610622,2
"15",25,2.09780956037895,-0.651882679547316,0
"16",26,1.56401694423275,-1.28717757274333,0
"17",28,1.5704529406824,-0.838636033977641,0
"18",30,5.31480207928395,-0.965361524483933,2
"19",32,5.27731141273793,-0.696903577490341,2
"20",33,5.27962343580707,-0.913670863882682,2
"21",34,6.02490693197609,-0.481803731762557,2
"22",40,1.5928147479713,0.298558499249871,0
"23",41,1.26542543257855,0.0667842468765215,0
"24",42,0.309608130826994,-0.271706208028442,1
"25",43,0.290131242384811,1.6458505562115,3
"26",44,1.22298581413554,1.2590043220344,3
"27",45,4.16056036934831,-0.453457240465097,2
"28",46,-0.0745788103786253,0.278549211275193,1
"29",47,-0.105340163069185,1.12727650953444,3
"30",48,0.0447867549647837,0.301893380578984,1
"31",49,-0.092350513176306,0.208516703363821,1
"32",50,-0.349856978329793,-0.755264000749818,1
"33",52,0.810366090498496,1.18563693279391,3
"34",60,0.323555986791188,-0.013252905022189,1
"35",61,-0.218818042778184,0.368591007161242,1
"36",62,-0.189936383751813,-0.241692276066425,1
"37",63,-0.400744283548684,-0.101627260243682,1
"38",66,-0.230376032797683,-0.340071275275257,1
"39",67,-0.00231336079821347,1.63918079355327,3
"40",68,-0.310972453517791,-0.830298830654859,1
"41",69,-0.211786597246102,-0.525157189041025,1
"42",70,0.0930248537594908,0.735427953363666,3
"43",71,0.0433990871328674,0.330239871876444,1
"44",72,-0.0816207522800653,-0.501813019737234,1
"45",73,0.850219612912904,1.34237635526222,3
"46",75,0.0833910273440349,3.88522336871083,3
"47",76,0.804710493991604,-1.36221240264837,0
"48",77,0.181848321120271,0.191842296718257,1
"49",78,-0.075694497595139,-0.673559408186551,1
"50",79,0.346292574539009,0.782116291971247,3
"51",81,0.0354175490814051,0.203514381370152,1
"52",83,0.202297357337907,0.963867324407903,3
"53",84,0.213798654862135,-0.680229170844777,1
"54",88,-0.126501834750244,-0.475133969104331,1
"55",90,0.438070353236984,0.443625837066283,3
"56",94,-0.381017239129803,-0.825296508661189,1
"57",100,0.00131032794959208,-1.39222633461039,1
"58",101,4.07720026050092,-0.917005745211795,2
"59",102,-0.199894657783942,0.263542245294185,1
"60",103,0.627497111627628,0.653723360800399,3
"61",104,-0.359203622523705,0.381930532477694,1
"62",105,-0.243537010864463,0.965534765072457,3
"63",106,-0.297477755504468,0.25187016064229,1
"64",107,-0.414821591104935,-0.271706208028442,1
"65",108,-0.225833496260523,-0.401766579863846,1
"66",109,-0.132545396282604,0.863820884534514,3
"67",110,0.187402994157342,0.542004836275115,3
"68",111,-0.213519237499155,-0.952021999167481,1
"69",112,-0.246248105579862,-0.896996457237116,1
"70",113,-0.0989818389668337,1.54080179434444,3
"71",114,-0.07272033803906,1.07058352693952,3
"72",115,0.254501429200703,0.533667632952333,3
"73",120,1.24040843437868,-0.220015547427191,0
"74",122,-0.164559835869337,-1.07708004900922,1
"75",123,-0.349424217780971,-1.75239351815459,1
