Precinct,Grade_1,Grade_2,Grade_3,Total
1,2875,167,6,3048
5,1240,136,6,1382
6,1971,140,9,2120
7,756,121,16,893
9,1451,198,14,1663
10,817,103,8,928
13,2829,177,12,3018
14,5752,318,16,6086
17,1837,103,8,1948
18,5023,251,22,5296
19,3588,127,10,3725
20,1373,112,8,1493
22,113,10,4,127
23,952,329,40,1321
24,1307,181,15,1503
25,722,296,34,1052
26,803,132,10,945
28,652,282,28,962
30,788,380,39,1207
32,1033,474,55,1562
33,865,315,27,1207
34,1392,273,34,1699
40,1563,484,73,2120
41,819,548,30,1397
42,1144,439,62,1645
43,2643,605,78,3326
44,2120,677,94,2891
45,1683,183,27,1893
46,2016,654,80,2750
47,1854,417,67,2338
48,1450,430,49,1929
49,1833,227,27,2087
50,1309,147,29,1485
52,2452,524,76,3052
60,1462,312,38,1812
61,2400,178,18,2596
62,1990,193,24,2207
63,1637,161,20,1818
66,1632,212,18,1862
67,2809,735,79,3623
68,1502,169,17,1688
69,1443,267,42,1752
70,3106,503,77,3686
71,2109,490,52,2651
72,1643,259,38,1940
73,1852,665,80,2597
75,3296,1053,124,4473
76,593,131,8,732
77,1796,498,62,2356
78,1208,108,12,1328
79,1705,599,67,2371
81,1210,421,49,1680
83,1687,537,69,2293
84,1476,200,8,1684
88,1301,209,27,1537
90,1699,279,36,2014
94,851,108,9,968
100,343,93,11,447
101,810,301,23,1134
102,2262,309,23,2594
103,2038,406,37,2481
104,2592,262,20,2874
105,2394,329,53,2776
106,1920,241,23,2184
107,2381,153,19,2553
108,2151,147,21,2319
109,3602,327,27,3956
110,2197,315,53,2565
111,1467,58,3,1528
112,1853,98,3,1954
113,2191,401,58,2650
114,3058,385,38,3481
115,2419,311,29,2759
120,1597,451,37,2085
121,,,,
122,1302,132,10,1444
123,456,54,4,514
